Description (Customer #),Quantity,P/N
Capacitor 0.1uF 0603,6,MLASH168SB7104KTNA01
Capacitor 1uF 0603,9,MLASH168SB7104KTNA01
Capacitor 2.2uF 0603,4,KAM15AR71A225MT
Capacitor 4.7uF 0603,4,MCASJ168BD7475KTCA01
Resistor 150,1,CRCW0603150RFKEC
Resistor 560,32,RC0603FR-7W560RL
Resistor 1k ,2,CRCW06031K00FKEI 
Resitsor 6.04k ,2,AF0603FR-076K04L
Resistor 7.32k,2,AC0603DR-077K32L
Resistor 9k,2,CRCW06039K09FKEA
Resistor 9.09k,2,RC0603BR-079K09L
Resistor 9.53 k,2,AT0603BRD079K53L
Resistor 13k,2,NT0603BRD0713KL
SN74HC595N 8-Bit Shift Register,4,SN74HC595N
INA241A5IDR Op Amp,2,INA241A5IDR
Blue LED,1,LTST-C193TBKT-5A
TLV9002QDRQ1 Op Amp,4,TLV9002QDRQ1
4 Digit Seven Segment,1,CA56-11GWA
REF35102QDBVR Ref Voltage,1,REF35102QDBVR
Board to Board 24 Pin Connector,1,52465-2470
