"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","P/N"
"H1,H2","2","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad_TopBottom","~",""
"J1,J2","2","Conn_01x01","","Excluded from BOM","","Custom:5754","~",""
"J3","1","SFH11-PBPC-D05-ST-BK","","Excluded from BOM","","UTSVT_Connectors:CONN_SFH11-xxxC-D05-ST-XX_SUL","https://www.digikey.com/en/products/detail/sullins-connector-solutions/SFH11-PBPC-D05-ST-BK/1990087?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gbraid=0AAAAADrbLljEsXDDEt5svizMM4jeYrL-A&gclid=Cj0KCQjwwZDFBhCpARIsAB95qO2YCKMg2VQme3QQBBCFa3dTLVMMS-qCbMZE8KZJpYe-_Bi6ULwi-x0aAvv3EALw_wcB","SFH11-PBPC-D05-ST-BK"
"J4,J5","2","Conn_01x02","","Excluded from BOM","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"J6","1","Conn_01x02","","Excluded from BOM","","UTSVT_Connectors:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","~",""
"LOGO2","1","Dr. Hallock","","Excluded from BOM","","UTSVT_Logos:LHRs_LOGO","",""
"LOGO3","1","Dr. Hallock","","Excluded from BOM","","UTSVT_Logos:Hallock_Image_Tiny","",""
"R1","1","PWR263S-35-R500F","","","","Custom:RES_PWR263S-35-3300F","http://www.bourns.com/docs/Product-Datasheets/PWR263S-35.pdf",""
"U1","1","Supp Charger","","","","Custom:SuppCharger","https://www.digikey.com/en/products/detail/molex/0533072471/3197073","538-52465-2470"
"U3","1","LeaderSOM","","Excluded from BOM","","UTSVT_Special:LeaderSOM","https://github.com/lhr-solar/LeaderSOMPCB",""
