Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x01,5754,240.8,-89.65,0.0,top
J2,Conn_01x01,5754,168.483809,-112.5,0.0,top
J3,SFH11-PBPC-D05-ST-BK,CONN_SFH11-xxxC-D05-ST-XX_SUL,170.35,-96.26,-90.0,top
J4,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,213.02,-113.44,90.0,top
J5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,170.93,-121.28,0.0,top
J6,Conn_01x02,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,186.4,-140.4,180.0,top
LOGO3,Dr. Hallock,Hallock_Image_Tiny,242.709857,-77.177068,90.0,top
R1,PWR263S-35-R500F,RES_PWR263S-35-3300F,184.0075,-131.29,180.0,top
U1,Supp Charger,SuppCharger,226.53,-121.155,0.0,top
U3,LeaderSOM,LeaderSOM,205.12,-88.76,0.0,top
