"Reference","Qty","Value","Exclude from BOM","Footprint","Datasheet","P/N"
"C1,C2,CMOSFET1,CMOSFET3","4","10u","","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/datasheet/2/396/taiyo_yuden_12132018_mlcc11_hq_e-1510082.pdf","TMK212BBJ106MGHT"
"D2,D5,D6,D7","4","D","","LED_SMD:LED_0603_1608Metric","~","LTST-C193TBKT-5A"
"D3,D4","2","SMBJ15D-M3I","","PowerBoardLib:P26_DO-214AA_SMB","https://www.vishay.com/docs/87606/smbj5cdthrusmbj120cd.pdf","SMBJ33D"
"D9,D11","2","D_Zener","","Diode_SMD:D_SOD-523","https://www.mouser.com/datasheet/2/115/DIOD_S_A0003550665_1-2542209.pdf","DDZ9703T-7"
"J1,J2,J3,J4,J5,J7","6","575-4","","UTSVT_Connectors:5754","~","575-4 "
"J6","1","53307-2471","","PowerBoardLib:LVMux","https://www.mouser.com/ProductDetail/Molex/53307-2471?qs=3DzawVMofg%252Bx9c%2FNm7UacA%3D%3D&srsltid=AfmBOoo3FTqnn7XO26oYn_ClMzJiJKKwJ7tetIIyKygtiKxENiX6ckUY","53307-2471"
"J9","1","Conn_01x02","","Connector_AMASS:AMASS_XT30UPB-M_1x02_P5.0mm_Vertical","~","PRT-10474 "
"Q1,Q2,Q3,Q4","4","SQJQ140E-T1_GE3","","PowerBoardLib:TO200P800X182-5N","https://www.vishay.com/docs/77320/sqjq142e.pdf","SQJQ140E-T1_GE3"
"R2,R7,R8,R9","4","R","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","CRCW06032K00FKEA"
"R3,R4","2","1.2","","Resistor_SMD:R_0805_2012Metric","https://www.koaspeer.com/pdfs/RK73H.pdf","CRCW06031R20FKEA"
"R5,R6","2","1.3m","","PowerBoardLib:RESC6432X89N","~","WSLF25121L300FEA"
"H1,H2,H3,H4","4","MountingHole_Pad","Excluded from BOM","MountingHole:MountingHole_3.2mm_M3_Pad","~",""
"J8","1","Conn_01x03","Excluded from BOM","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19","16","TestPoint","Excluded from BOM","TestPoint:TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded","~",""
